date,frac_valid,filled_frac_valid,Q_mean,all,fn_yes,fn_no,fp_yes,fp_no,fn_yes_fp_no,fn_no_fp_no,fn_yes_fp_yes,fn_no_fp_yes,win_all,win_fn_yes,win_fn_no,win_fp_yes,win_fp_no,win_fn_yes_fp_no,win_fn_no_fp_no,win_fn_yes_fp_yes,win_fn_no_fp_yes,PR_sum,PRCP_sum,VPD_mean,TMMN_mean,TMMX_mean,ET_mean,SRAD_mean,SWE_mean,gage,DRAIN_SQKM,SLOPE_PCT,ELEV_MEAN_M_BASIN,FORESTNLCD06,PLANTNLCD06,DEVNLCD06,RFACT,SANDAVE,SILTAVE,CLAYAVE,ROCKDEPAVE,PERMAVE,STOR_NOR_2009,RAW_AVG_DIS_ALLDAMS,MAJ_NDAMS_2009,interpolated
2017-01-01 00:00:00+00:00,0.9311585907966063,0.9978566555280513,33.838575999999996,62266068.0,46944880.0,15321147.923265455,31233386.0,31032626.0,19996598.0,11036080.429115295,26948332.0,4285067.494150162,54145906.0,39650407.0,14495509.616537571,28101853.0,26044030.0,16105955.5,9938110.040842056,23544440.0,4557399.575695515,13.733800812901597,12.76353447618264,0.11430108135908552,259.8077570467769,269.03108830749545,0.5978321494494608,74.71272448766669,12.40353705216398,05418500,4019.218,3.260985,293.8948,10.175045772099999,76.34051000000001,6.01890225,151.9346,21.73288,54.65854,23.60858,54.87833,2.297183,5.333609174720058,54.93947,2,N
2017-01-15 00:00:00+00:00,0.9889387275149788,0.999198084404264,78.47798857142857,46025744.0,32355934.0,13669871.309809685,24970320.0,21055434.0,12215313.0,8840139.652568817,20140548.0,4829731.657240868,50371917.333333336,35160055.333333336,15211857.958678246,26095934.0,24275966.666666668,13878639.333333334,10397351.29885006,21281418.333333332,4814506.659828186,38.35507417593008,38.644364226343484,0.11998349230767251,270.80100281014677,274.68040008322924,0.6057135261365731,79.09225534894826,22.380323320960333,05418500,4019.218,3.260985,293.8948,10.175045772099999,76.34051000000001,6.01890225,151.9346,21.73288,54.65854,23.60858,54.87833,2.297183,5.333609174720058,54.93947,2,N
2017-01-29 00:00:00+00:00,0.9661789302854852,1.0013382665164718,38.73333714285714,42823940.0,26179352.0,16644554.642959597,22084096.0,20739840.0,9424007.0,11315833.814866066,16755375.0,5328720.828093529,51099809.333333336,36986064.666666664,14113733.51280562,27559442.0,23540379.333333332,13934810.666666666,9605572.513561884,23051242.333333332,4508160.999243736,2.1223041702797287,2.8517601675915225,0.21680592608630173,264.9289954992531,274.5271545038985,1.1486533374542378,106.41635895016752,14.06922796029065,05418500,4019.218,3.260985,293.8948,10.175045772099999,76.34051000000001,6.01890225,151.9346,21.73288,54.65854,23.60858,54.87833,2.297183,5.333609174720058,54.93947,2,N
2017-02-12 00:00:00+00:00,0.9632053560666304,1.00175680115104,34.890342857142855,64449744.0,52422908.0,12026774.585647585,35623910.0,28825864.0,20165112.0,8660744.07325077,32257804.0,3366030.5123968124,43965284.666666664,30623425.666666668,13341827.312203726,24018455.333333332,19946836.666666668,10841344.0,9105495.801917076,19782100.0,4236331.510286649,21.221558984594612,21.079017246778175,0.4081744256481413,270.69075045740084,283.8959763635591,1.8417111345400425,124.6552031427144,7.210961236926853,05418500,4019.218,3.260985,293.8948,10.175045772099999,76.34051000000001,6.01890225,151.9346,21.73288,54.65854,23.60858,54.87833,2.297183,5.333609174720058,54.93947,2,N
2017-02-26 00:00:00+00:00,0.8308801634072176,1.0007196206992184,46.156384,24622170.0,13268017.0,11354152.708003998,14347360.0,10274806.0,2934913.0,7339909.517634392,10333121.0,4014243.190369606,40982188.0,29513423.666666668,11468763.333294233,23236044.666666668,17746177.0,9971867.333333334,7774320.771829605,19541574.333333332,3694442.5614646277,20.014453912037016,16.67821059092349,0.3695934524433874,269.32215739020137,280.8668717881422,2.1469993189610626,152.8686078558121,0.0,05418500,4019.218,3.260985,293.8948,10.175045772099999,76.34051000000001,6.01890225,151.9346,21.73288,54.65854,23.60858,54.87833,2.297183,5.333609174720058,54.93947,2,N
2017-03-12 00:00:00+00:00,0.982414558739398,1.0014729242068416,35.133058285714284,33874650.0,22849346.0,11025362.706231115,19736864.0,14137861.0,6815577.0,7322308.724603653,16033798.0,3703053.981627464,33899672.0,22554715.666666668,11344973.702349344,19307084.666666668,14592605.666666666,7153391.333333333,7439231.436484973,15401343.0,3905742.2658643723,24.450699873835845,24.99958506953282,0.31216358019868623,268.0237992383057,280.1513725707007,1.8745820677138174,168.50923133314708,6.433441882527047,05418500,4019.218,3.260985,293.8948,10.175045772099999,76.34051000000001,6.01890225,151.9346,21.73288,54.65854,23.60858,54.87833,2.297183,5.333609174720058,54.93947,2,N
2017-03-26 00:00:00+00:00,0.6895740897129099,1.001552792176116,51.212955428571426,43202196.0,31546784.0,11655405.69281292,23837030.0,19365150.0,11709684.0,7655476.067216873,19837110.0,3999929.6255960464,45600282.0,33913773.333333336,11686507.72979641,26043621.333333332,19556678.333333332,11682886.333333334,7873806.741829555,22230922.666666668,3812700.9879668555,45.64296597609959,46.97856325134663,0.34487439579013074,276.17681811226106,284.6766483360254,2.1543614003759552,160.9504227629211,0.0,05418500,4019.218,3.260985,293.8948,10.175045772099999,76.34051000000001,6.01890225,151.9346,21.73288,54.65854,23.60858,54.87833,2.297183,5.333609174720058,54.93947,2,N
2017-04-09 00:00:00+00:00,0.9975593937123904,1.0024055261574587,70.9538102857143,59724000.0,47345190.0,12378754.790345192,34556970.0,25167024.0,16523398.0,8643635.433668137,30821860.0,3735119.356677056,52621802.0,40995198.0,11626582.722232819,30132998.666666668,22488788.0,14669324.666666666,7819461.217982292,26325892.666666668,3807121.5042505264,55.84360375970567,59.087697632413665,0.6054784939749389,279.15766594795133,292.0803718157473,3.5482992794712946,232.31817607960616,0.0,05418500,4019.218,3.260985,293.8948,10.175045772099999,76.34051000000001,6.01890225,151.9346,21.73288,54.65854,23.60858,54.87833,2.297183,5.333609174720058,54.93947,2,N
2017-04-23 00:00:00+00:00,0.97222344998592,1.0023791976740328,62.74193828571428,54939210.0,44093620.0,10845587.683540344,32004996.0,22934190.0,15774892.0,7159272.153061867,28318708.0,3686315.5304784775,52880727.333333336,37568030.0,15312657.01282692,29684606.0,23196086.0,13057000.666666666,10139080.803145409,24511039.333333332,5173576.209681511,42.71825508753522,45.267017417448464,0.566325031618285,276.7570110676389,288.30891187738393,3.189566226640823,202.07503077246628,0.0,05418500,4019.218,3.260985,293.8948,10.175045772099999,76.34051000000001,6.01890225,151.9346,21.73288,54.65854,23.60858,54.87833,2.297183,5.333609174720058,54.93947,2,N
2017-05-07 00:00:00+00:00,0.9648199245725722,1.0024470780935912,51.27363428571429,43978972.0,21265280.0,22713628.564595222,22491852.0,21487044.0,6872712.0,14614334.822706224,14392550.0,8099293.741889,45995847.333333336,30837314.666666668,15158505.38605372,25949026.666666668,20046780.666666668,10377951.666666666,9668828.65688324,20459360.0,5489676.729170482,60.82276124698214,63.78192796478241,0.7819270255406046,283.0213004717838,295.1758395919447,4.1921468032229185,234.12591376787347,0.0,05418500,4019.218,3.260985,293.8948,10.175045772099999,76.34051000000001,6.01890225,151.9346,21.73288,54.65854,23.60858,54.87833,2.297183,5.333609174720058,54.93947,2,N
2017-05-21 00:00:00+00:00,0.9965024301263744,1.0025918847524324,53.03332114285714,39069360.0,27153044.0,11916299.910025597,23350232.0,15719108.0,8486251.0,7232878.99488163,18666822.0,4683420.915143967,42609432.0,28119578.666666668,14489831.931396166,24352834.666666668,18256576.0,8940391.666666666,9316189.04219246,19179187.333333332,5173642.889203708,24.21670969607626,21.215183644972242,0.8462812937387832,283.07603454864727,295.07285388233606,4.600543413109471,272.6209411649061,0.0,05418500,4019.218,3.260985,293.8948,10.175045772099999,76.34051000000001,6.01890225,151.9346,21.73288,54.65854,23.60858,54.87833,2.297183,5.333609174720058,54.93947,2,N
2017-06-04 00:00:00+00:00,0.9532288465160468,1.0032796612244907,43.264025142857136,44779964.0,35940412.0,8839567.31956768,27216420.0,17563576.0,11462212.0,6101353.308989525,24478190.0,2738214.0105781555,36536771.333333336,25524009.333333332,11012746.522212664,21873034.333333332,14663727.333333334,7450263.5,7213468.220718384,18073757.666666668,3799278.3014942803,68.06203081970384,78.22381170547965,1.2377318593429056,289.4297897245898,303.03189987378215,6.118372297946119,299.9757300597694,0.0,05418500,4019.218,3.260985,293.8948,10.175045772099999,76.34051000000001,6.01890225,151.9346,21.73288,54.65854,23.60858,54.87833,2.297183,5.333609174720058,54.93947,2,N
2017-06-18 00:00:00+00:00,0.9135597646645424,1.0033814450822034,68.04122514285714,25760990.0,13478572.0,12282372.337044716,15052451.0,10708498.0,2402327.5,8306172.358283997,11076261.0,3976199.9787607193,30711707.333333332,20683264.333333332,10028423.85440286,18514566.333333332,12197132.0,5407615.233333333,6789512.7600091295,15275654.666666666,3238911.09439373,79.13115779023266,86.82284379634251,0.768780131929978,285.8044580001795,297.59388733823135,4.88976737711971,285.1557556449913,0.0,05418500,4019.218,3.260985,293.8948,10.175045772099999,76.34051000000001,6.01890225,151.9346,21.73288,54.65854,23.60858,54.87833,2.297183,5.333609174720058,54.93947,2,N
2017-07-02 00:00:00+00:00,1.000939662102597,1.0033567345502732,52.32540114285714,21594168.0,12630809.0,8963331.906596184,13274828.0,8319322.0,2358306.2,5961012.612753868,10272513.0,3002319.293842316,26313646.0,15652690.333333334,10660939.47082297,15870243.0,10443395.333333334,3177773.0666666664,7265621.241419792,12474933.0,3395318.2294031777,52.56087828439911,56.8931663265753,0.6575108769358718,289.49232365277027,301.2654120644701,4.895050186641121,299.5637419209629,0.0,05418500,4019.218,3.260985,293.8948,10.175045772099999,76.34051000000001,6.01890225,151.9346,21.73288,54.65854,23.60858,54.87833,2.297183,5.333609174720058,54.93947,2,N
2017-07-16 00:00:00+00:00,0.6988134752708248,1.003337245589078,94.21403885714285,31585780.0,20848690.0,10737114.16882801,19283450.0,12302366.0,4772685.5,7529678.753221512,16076025.0,3207435.4156064987,34602772.666666664,25131578.333333332,9471203.066696802,21387396.666666668,13215403.333333334,6730382.899999999,6485003.24867471,18401211.333333332,2986199.8180220923,111.1406484173629,118.89465428369743,0.6038335673946823,290.2008704093633,301.1249696451513,4.698835812397119,283.63121677558144,0.0,05418500,4019.218,3.260985,293.8948,10.175045772099999,76.34051000000001,6.01890225,151.9346,21.73288,54.65854,23.60858,54.87833,2.297183,5.333609174720058,54.93947,2,N
2017-07-30 00:00:00+00:00,0.990523658091254,1.0032472286513323,38.87492114285714,50628370.0,41915236.0,8713163.124666214,31603912.0,19024522.0,13060157.0,5964318.380048752,28855096.0,2748844.744617462,40136724.666666664,30919309.333333332,9217412.695076307,24858838.0,15277917.0,9015902.5,6261997.343764305,21903430.333333332,2955415.3513120017,18.160438785348216,16.304294152722655,0.7597090435465949,285.4420431225246,299.017993523166,4.249492022833875,253.62387064699573,0.0,05418500,4019.218,3.260985,293.8948,10.175045772099999,76.34051000000001,6.01890225,151.9346,21.73288,54.65854,23.60858,54.87833,2.297183,5.333609174720058,54.93947,2,N
2017-08-13 00:00:00+00:00,0.6263582978591339,1.0031785392560262,27.37425508571428,38196024.0,29994002.0,8201960.791734695,23689152.0,14506863.0,9214865.0,5291994.898022652,20779170.0,2909965.893712044,49258086.0,40568569.333333336,8689519.948640505,30156149.333333332,19101957.666666668,13233952.0,5868000.73113664,27334616.666666668,2821519.2175038657,33.53037312962775,31.985869085410634,0.5650826632836607,286.7755009093459,297.5703698648681,3.5376929925000264,215.89270461004494,0.0,05418500,4019.218,3.260985,293.8948,10.175045772099999,76.34051000000001,6.01890225,151.9346,21.73288,54.65854,23.60858,54.87833,2.297183,5.333609174720058,54.93947,2,N
2017-08-27 00:00:00+00:00,0.9720872478873048,1.0036108264783057,23.211685485714288,58949864.0,49796470.0,9153435.929520609,35175384.0,23774488.0,17426834.0,6347688.915338516,32369584.0,2805747.0141820908,39702878.0,31010000.333333332,8692863.482048035,24103124.0,15599743.666666666,9801973.733333332,5797785.998412132,21208030.0,2895077.4836359024,8.443346242660077,8.922783879173407,0.7664064280247017,282.6358670621821,296.4270505313045,3.843944530555461,219.91448278424144,0.0,05418500,4019.218,3.260985,293.8948,10.175045772099999,76.34051000000001,6.01890225,151.9346,21.73288,54.65854,23.60858,54.87833,2.297183,5.333609174720058,54.93947,2,N
